ctry,year,gdp_pc,urban,lit,Ex,water,sewage,elec,us_aid,tfr,gyear,y,wy,max_le,ctry_year,igdp_pc,iurban,ilit,itfr,iwater,isewage,ielec,igdp_log,iurban_log,ilit_log,iwater_log,isewage_log,ielec_log,zyear
Mexico,1970,4319.64599609375,59.0209999084473,75,59.1823272705078,,,,5275621,6.71999979019165,1970-1989,0.781315097874166,0.418791508086635,75.7470672607422,Mexico.1970-1989,4319.64599609375,59.0209999084473,75,6.71999979019165,82.3000030517578,65.9000015258789,95.2399978637695,0.460025960831734,0.321412460342302,0.205021522940591,0.210666532108589,0.32546672116314,0.346498568581769,0.318546780372998
Nicaragua,1970,2811.6328125,47.0299987792969,57,50.9518241882324,,,,20903861,6.89200019836426,1970-1989,0.714345568429524,0.225518712340487,71.3265769958496,Nicaragua.1970-1989,2811.6328125,47.0299987792969,57,6.89200019836426,37.9000015258789,18.5,40.5999984741211,0.0306178939347967,0.0943048191143383,-0.0694153227611691,-0.564753460306295,-0.944901011415502,-0.50613340158246,0.318546780372998
Panama,1970,3813.75244140625,47.6399993896484,79,64.0679817199707,,,,70351309,5.1729998588562,1970-1989,0.800798710439892,0.478368210986167,80.0051010131836,Panama.1970-1989,3813.75244140625,47.6399993896484,79,5.1729998588562,75.3000030517578,42.4000015258789,65.3000030517578,0.335466104489589,0.107191880788575,0.256981261871302,0.121775562678508,-0.11552334527416,-0.0309093475901152,0.318546780372998
Paraguay,1970,1871.78137207031,37.064998626709,80,61.6828727722168,,,,44966314,5.73899984359741,1970-1989,0.829181722847321,0.569370905541724,74.3900535583496,Paraguay.1970-1989,1871.78137207031,37.064998626709,80,5.73899984359741,10.3000001907349,13.3999996185303,16.2800006866455,-0.37625690990679,-0.14380775982898,0.269560044078162,-1.86756069890179,-1.26741706501081,-1.41996402785529,0.318546780372998
Peru,1970,3854.2236328125,57.4059982299805,72,51.4103260040283,,,,84560124,6.30700016021729,1970-1989,0.692564572770628,0.165082316768079,74.2318161010742,Peru.1970-1989,3854.2236328125,57.4059982299805,72,6.30700016021729,55.9000015258789,41.2999992370605,54.9700012207031,0.346022101748698,0.293667945759273,0.164199528420336,-0.176140205197697,-0.141809262005904,-0.203113826527638,0.318546780372998
Uruguay,1970,5184.0537109375,82.3679962158203,93,67.3715744018555,,,,110923697,2.90199995040894,1970-1989,0.874696107055067,0.730930971724005,77.0228355407715,Uruguay.1970-1989,5184.0537109375,82.3679962158203,93,2.90199995040894,83.5,91.1999969482422,79.3300018310547,0.642439827184541,0.654716115144529,0.420132902557537,0.225142019201479,0.650383120118247,0.16371495978848,0.318546780372998
Venezuela,1970,10671.7626953125,71.8519973754883,77,64.582067489624,,,,16757000,5.40399980545044,1970-1989,0.873253766001312,0.725405418081422,73.9556701660156,Venezuela.1970-1989,10671.7626953125,71.8519973754883,77,5.40399980545044,89.9000015258789,82,98.9899978637695,1.36445376001177,0.518127560493176,0.231338831257965,0.298993345795312,0.544047503764472,0.385117382744529,0.318546780372998
Argentina,1971,7529.93701171875,79.3209991455078,,66.3373947143555,,,,77827741,3.10400009155273,1970-1989,0.871307632894262,0.718000986883052,76.1354454040527,Argentina.1970-1989,7529.93701171875,79.3209991455078,93.1336937639968,3.10400009155273,84.1999969482422,74.3000030517578,81.3199996948242,1.01573918408131,0.61702204907363,0.421569437601617,0.233490272348795,0.445439249297388,0.188490554400447,0.351385921850701
Bolivia,1971,2204.42114257812,40.0820007324219,,42.6288833618164,,,,65511969,6.54899978637695,1970-1989,0.60170304015024,-0.0827758993325795,70.847046661377,Bolivia.1970-1989,2204.42114257812,40.0820007324219,58.942600473512,6.54899978637695,39.5999984741211,14.3999996185303,35.1699981689453,-0.212682538656341,-0.0655534768824553,-0.0359024935687238,-0.520875532927193,-1.19544356340878,-0.649708036184003,0.351385921850701
Brazil,1971,3278.47143554688,56.8940010070801,,53.4690647125244,,,,597510869,4.89599990844727,1970-1989,0.732568619393863,0.276792192349149,72.9884727478027,Brazil.1970-1989,3278.47143554688,56.8940010070801,68.6941589852132,4.89599990844727,38.8792705805438,25.3211513318456,47.1149214646502,0.184229795306488,0.284709054231791,0.117197582968707,-0.539243394027561,-0.631031676015664,-0.357311675835931,0.351385921850701
Chile,1971,5597.30908203125,75.8830032348633,,62.3408126831055,,,,65890065,3.8510000705719,1970-1989,0.790272823958897,0.445933603109004,78.8851783752441,Chile.1970-1989,5597.30908203125,75.8830032348633,88.4,3.8510000705719,79.823033970109,50.9003405902525,75.3121412770199,0.719138468470097,0.572711872137767,0.369405379047879,0.180107496392087,0.0671978713948698,0.111739929940001,0.351385921850701
Colombia,1971,3194.25927734375,55.5740013122559,,61.4983177185059,,,,481264928,5.36999988555908,1970-1989,0.819680178698187,0.538259774239652,75.0272109985352,Colombia.1970-1989,3194.25927734375,55.5740013122559,78.6849637128211,5.36999988555908,67.9000015258789,55.7999992370606,60.9599990844727,0.15820773015591,0.261234638712154,0.252985488286781,0.0183314443817624,0.159102112214734,-0.0996835342470241,0.351385921850701
Costa_Rica,1971,3889.37060546875,39.4449996948242,,66.9006767272949,,,,36887371,4.73299980163574,1970-1989,0.839165386198908,0.602882527645108,79.7228744506836,Costa_Rica.1970-1989,3889.37060546875,39.4449996948242,88.6528694889899,4.73299980163574,78.5,41.4000015258789,64.870002746582,0.355099853741708,-0.0815735620764677,0.372261810142772,0.163394012133032,-0.139390825811534,-0.0375161210421711,0.351385921850701
Cuba,1971,2036.53564453125,60.976001739502,,71.5461921691895,,,,,3.85700011253357,1970-1989,0.904886572420708,0.855557282296662,79.0664756774902,Cuba.1970-1989,2036.53564453125,60.976001739502,89.5196034047281,3.85700011253357,89.5,81.5,94.1600036621094,-0.291897341925939,0.353999521772375,0.381991043156046,0.294534012625478,0.537931276747036,0.335094071237509,0.351385921850701
Dominican_Republic,1971,1679.57849121094,41.2910003662109,,58.272855758667,,,,128746145,5.98299980163574,1970-1989,0.771757462422047,0.3902475421323,75.5066955566406,Dominican_Republic.1970-1989,1679.57849121094,41.2910003662109,67.4554936701875,5.98299980163574,53.5999984741211,23.2999992370605,61.7999992370606,-0.484604628871664,-0.0358362834738175,0.0990014367796963,-0.218155573046466,-0.714218415672309,-0.0859980784885757,0.351385921850701
Ecuador,1971,2409.28564453125,39.8129997253418,,57.4631595611572,,,,106032747,6.00500011444092,1970-1989,0.752382425911949,0.333517706973792,76.3749359130859,Ecuador.1970-1989,2409.28564453125,39.8129997253418,74.8,6.00500011444092,41.0999984741211,41.4000015258789,41.2400016784668,-0.123817202211955,-0.0722873656622634,0.202351294384712,-0.483696528279151,-0.139390825811534,-0.490492730758193,0.351385921850701
El_Salvador,1971,2222.17138671875,39.5040016174316,,56.2295055389404,,,,23667857,6.10599994659424,1970-1989,0.803132699878459,0.485646501955612,70.0127208709717,El_Salvador.1970-1989,2222.17138671875,39.5040016174316,58.8732621550919,6.10599994659424,74.8000030517578,50,77,-0.204662672738363,-0.0800788773404655,-0.037079556230383,0.115113313124001,0.0493512619283649,0.133903991246762,0.351385921850701
Guatemala,1971,3012.25634765625,35.8610000610352,,49.6632442474365,,,,107812565,6.2189998626709,1970-1989,0.710649626213183,0.215205697062154,69.8842895507813,Guatemala.1970-1989,3012.25634765625,35.8610000610352,45.8,6.2189998626709,51.2000007629395,18,35.7999992370605,0.0995419223818033,-0.176830495172407,-0.28818249947558,-0.263965065708709,-0.972299985603616,-0.631953558511425,0.351385921850701
