ctry,year,iurban,igdp_pc,ilit,itfr,Ex,water,sewage,elec
Chile,1939,49.4454837090784,3169.2548828125,73.0187111345773,5,38.7721977233887,,,
Chile,1940,50.09468671243,3236.21484375,73,5,39.2313556671143,,,
Chile,1941,50.7456065894825,3140.7236328125,73.393177434646,5,39.8410301208496,,,
Chile,1942,51.3987262717441,3225.68286132813,74.0123808858605,5,40.5057563781738,,,
Chile,1943,52.0547285522068,3256.1103515625,74.6755970971654,5,41.1849117279053,,,
Chile,1944,52.7146114079116,3255.81225585938,75.3427737463075,5,41.8790893554688,,,
Chile,1945,53.379893590763,3471.48876953125,76,5,42.5889492034912,,,
Chile,1946,54.0530052873438,3699.337890625,76.641170731996,5,43.3430156707764,,,
Chile,1947,54.7380925165516,3240.15380859375,77.2631851059028,5,45.6977615356445,,,
Chile,1948,55.4428560503685,3711.88012695313,77.8643010282271,5,45.659065246582,,,
Chile,1949,56.1834005798455,3568.79907226563,78.4434643990657,5,45.9285755157471,,,
Chile,1950,57,3669.74169921875,79,5,49.9837989807129,,,
Chile,1951,57.9366972798721,3730.99780273438,79.54129377501,5,50.0687808990479,,,
Chile,1952,58.9677540867462,3893.03173828125,80.0747798013436,5,52.5286827087402,,,
Chile,1953,60.0730397153702,4112.13134765625,80.6000130899702,5.07399883799099,53.1982212066651,,,
Chile,1954,61.2308978534087,3907.25390625,81.1165141818403,5.14066544107937,53.573564529419,,,
Chile,1955,62.4179992675781,3975.38916015625,81.6237657443005,5.19999980926514,53.5579376220703,,,
Chile,1956,63.6091770839423,3956.80615234375,82.1212087560972,5.25,54.5674648284912,,,
Chile,1957,64.7772422148197,4264.19970703125,82.60823822176,5.30000019073486,54.5718612670899,,,
Chile,1958,65.8927760833657,4391.5595703125,83.0841983462098,5.38441488925923,56.3165321350098,,,
Chile,1959,66.9238973198834,4042.02661132813,83.5483770885753,5.5019786610724,55.5406284332275,,,
Chile,1960,67.8359985351563,4270.27734375,84,5.58199977874756,56.685546875,,,
Chile,1961,68.6600036621094,4366.3046875,84.4,5.54300022125244,57.2826976776123,,,
Chile,1962,69.4349975585938,4465.2470703125,84.8,5.46299982070923,57.4696483612061,,,
Chile,1963,70.1999969482422,4639.2841796875,85.2,5.3420000076294,56.8066349029541,,,
Chile,1964,70.9550018310547,4638.28857421875,85.6,5.18499994277954,58.5050487518311,,,
